

Complete listing of Fine Structure file
File:  D:\SoundingArchive\Sonde2021\Ball09\PTU\20210930\Esrange_20210930_045350_EDT_PTULevels.tsv

Started at       30 September 2021  4:53 UTC

Station  :       Esrange
Location :       67.89 N 21.08 E       335 m/MSL

RS type       :  RS41-SGP
RS-number     :  R0830048
Sounding processor serial number: 0


Ground check  :     Ref     RS   Corr

  Pressure    :   988.7  987.1    1.6
  Temperature :   /////  /////  /////
  Humidity    :   /////  /////  /////

Clouds    : /////
Special 1 : /////
Special 2 : /////

Telemetry noise level  :  100 %

                 P      T      U
Accepted (%) : /////  /////  /////
Replaced (%) : /////  /////  /////
Rejected (%) : /////  /////  /////

GPS data quality
    Valid raw wind ratio        :  ///// %
    Valid raw wind on 5 ratio   :  ///// %
    Invalid raw wind on 4 ratio :  ///// %
    Poor PDOP ratio             :  ///// %
    Unidentified signals ratio  :  ///// %
    Mean satellite track count  :  /////
    Mean track count valid      :  /////
    Gaps over 1 min             :  ///// min


Reason for termination : WeakOrFadingSignal

   Time Pressure   Height  Temperature  RH   Dewp   Significance flags

 min  s      hPa      gpm     deg C      %  deg C  Automatic  Operator

   0  0    986.8      299       5.2     87    3.2 TU          TU            
   0  5    986.6      301       5.4     85    3.0                           
   0  6    986.1      305       5.4     85    3.0                           
   0  7    985.7      308       5.3     85    3.0                           
   0  8    985.4      311       5.3     85    2.9                           
   0  9    985.1      313       5.3     84    2.8                           
   0 10    984.9      315       5.3     84    2.8                           
   0 11    984.7      316       5.2     84    2.8                           
   0 12    984.6      317       5.2     84    2.8                           
   0 13    984.5      318       5.2     84    2.8                           
   0 14    984.4      319       5.2     85    2.9                           
   0 15    984.3      320       5.2     85    2.9                           
   0 16    984.2      320       5.2     85    3.0                           
   0 17    984.1      321       5.2     86    3.0                           
   0 18    984.0      322       5.2     86    3.0                           
   0 19    984.0      322       5.2     86    3.0                           
   0 20    983.9      323       5.2     86    3.0                           
   0 21    983.8      323       5.2     86    3.0                           
   0 22    983.8      324       5.2     86    3.0                           
   0 23    983.8      324       5.1     86    3.0                           
   0 24    983.7      325       5.1     86    3.0                           
   0 25    983.6      325       5.2     86    3.0                           
   0 26    983.5      326       5.2     85    2.9                           
   0 27    983.4      327       5.2     85    2.9                           
   0 28    983.3      328       5.2     85    2.8                           
   0 29    983.1      330       5.3     85    2.9                           
   0 30    982.8      332       5.3     85    2.9                           
   0 31    982.5      334       5.3     85    2.9                           
   0 32    982.2      337       5.3     85    2.9                           
   0 33    981.8      340       5.3     84    2.9                           
   0 34    981.4      344       5.2     85    2.9                           
   0 35    980.9      348       5.2     85    2.8                           
   0 36    980.4      352       5.1     85    2.8                           
   0 37    979.8      357       5.1     85    2.8                           
   0 38    979.3      361       5.1     85    2.7                           
   0 39    978.7      366       5.1     84    2.7                           
   0 40    978.1      371       5.0     84    2.6                           
   0 41    977.6      376       5.0     85    2.6                           
   0 42    977.0      380       4.9     85    2.6                           
   0 43    976.4      385       4.9     85    2.6                           
   0 44    975.9      390       4.9     85    2.5                           
   0 45    975.3      394       4.8     85    2.6                           
   0 46    974.8      399       4.8     85    2.6                           
   0 47    974.2      404       4.8     86    2.6                           
   0 48    973.7      408       4.7     86    2.6                           
   0 49    973.2      413       4.7     86    2.6                           
   0 50    972.6      417       4.6     87    2.6                           
   0 51    972.1      421       4.6     87    2.6                           
   0 52    971.6      426       4.5     87    2.6                           
   0 53    971.0      430       4.5     87    2.6                           
   0 54    970.5      435       4.5     87    2.6                           
   0 55    969.9      440       4.5     87    2.6                           
   0 56    969.3      445       4.5     87    2.5                           
   0 57    968.8      449       4.4     87    2.5                           
   0 58    968.2      454       4.4     87    2.5                           
   0 59    967.6      459       4.4     87    2.5                           
   1  0    967.0      464       4.3     88    2.5                           
   1  1    966.4      469       4.3     88    2.5                           
   1  2    965.9      474       4.2     88    2.5                           
   1  3    965.3      479       4.2     88    2.4                           
   1  4    964.7      484       4.1     88    2.4                           
   1  5    964.1      488       4.1     88    2.4                           
   1  6    963.6      493       4.1     89    2.4                           
   1  7    963.0      498       4.0     89    2.4                           
   1  8    962.4      503       4.0     89    2.4                           
   1  9    961.9      508       3.9     90    2.4                           
   1 10    961.3      512       3.9     90    2.4                           
   1 11    960.7      517       3.8     90    2.4                           
   1 12    960.2      522       3.8     90    2.4                           
   1 13    959.6      526       3.8     91    2.4                           
   1 14    959.1      531       3.7     91    2.4                           
   1 15    958.5      536       3.6     92    2.5                           
   1 16    958.0      541       3.6     92    2.5                           
   1 17    957.4      545       3.5     92    2.4                           
   1 18    956.8      550       3.5     92    2.3                           
   1 19    956.3      555       3.4     92    2.3                           
   1 20    955.7      560       3.4     92    2.2                           
   1 21    955.1      565       3.4     92    2.2                           
   1 22    954.5      570       3.3     92    2.2                           
   1 23    953.9      575       3.3     93    2.2                           
   1 24    953.3      580       3.2     93    2.2                           
   1 25    952.7      585       3.2     93    2.2                           
   1 26    952.1      591       3.1     94    2.2                           
   1 27    951.5      596       3.1     94    2.2                           
   1 28    950.8      601       3.0     94    2.2                           
   1 29    950.2      607       3.0     94    2.2                           
   1 30    949.6      612       2.9     95    2.2                           
   1 31    949.0      617       2.9     95    2.2                           
   1 32    948.4      622       2.8     95    2.2                           
   1 33    947.7      628       2.8     95    2.1                           
   1 34    947.1      633       2.7     96    2.1                           
   1 35    946.5      638       2.6     96    2.1                           
   1 36    945.9      643       2.6     97    2.2                           
   1 37    945.3      649       2.5     97    2.2                           
   1 38    944.7      654       2.5     97    2.1                           
   1 39    944.1      659       2.4     98    2.1                           
   1 40    943.5      664       2.4     98    2.1                           
   1 41    943.0      669       2.3     98    2.0                           
   1 42    942.4      674       2.3     98    2.0                           
   1 43    941.8      678       2.2     98    2.0                           
   1 44    941.3      683       2.2     98    2.0                           
   1 45    940.7      688       2.2     99    2.0                           
   1 46    940.1      693       2.1     99    2.0                           
   1 47    939.6      698       2.1    100    2.0                           
   1 48    939.0      702       2.0    100    2.0                           
   1 49    938.5      707       2.0    100    2.0                           
   1 50    938.0      712       1.9    100    1.9                           
   1 51    937.4      716       1.9     99    1.8                           
   1 52    936.9      720       1.9     99    1.8                           
   1 53    936.4      725       1.9     99    1.8                           
   1 54    935.9      729       1.9     99    1.8                           
   1 55    935.4      733       1.8    100    1.8                           
   1 56    934.9      738       1.8    100    1.8                           
   1 57    934.4      742       1.8    100    1.7                           
   1 58    933.9      746       1.7    100    1.7                           
   1 59    933.4      751       1.7    100    1.7                           
   2  0    932.9      755       1.7    100    1.7                           
   2  1    932.4      759       1.6    100    1.6                           
   2  2    931.9      764       1.6    100    1.6                           
   2  3    931.4      768       1.6    100    1.6                           
   2  4    930.9      772       1.6    100    1.6                           
   2  5    930.4      777       1.5    100    1.5                           
   2  6    929.9      781       1.5    100    1.5                           
   2  7    929.4      786       1.5    100    1.5                           
   2  8    928.9      790       1.4    100    1.4                           
   2  9    928.4      795       1.4    100    1.4                           
   2 10    927.9      799       1.4    100    1.4                           
   2 11    927.3      803       1.3    100    1.3                           
   2 12    926.8      808       1.3    100    1.2                           
   2 13    926.4      812       1.2    100    1.2                           
   2 14    925.9      816       1.2    100    1.2                           
   2 15    925.4      821       1.2    100    1.2                           
   2 16    924.9      825       1.2    100    1.2                           
   2 17    924.4      829       1.2    100    1.2                           
   2 18    924.0      833       1.1    100    1.1                           
   2 19    923.5      837       1.1    100    1.1                           
   2 20    923.0      841       1.1    100    1.1                           
   2 21    922.6      845       1.0    100    1.0                           
   2 22    922.1      849       1.0    100    1.0                           
   2 23    921.6      853       1.0    100    1.0                           
   2 24    921.2      857       1.0    100    1.0                           
   2 25    920.7      862       0.9    100    0.9                           
   2 26    920.1      866       0.9    100    0.9                           
   2 27    919.6      871       0.9    100    0.9                           
   2 28    919.1      875       0.9    100    0.9                           
   2 29    918.6      880       0.8    100    0.8                           
   2 30    918.0      885       0.8    100    0.8                           
