

Complete listing of Fine Structure file
File:  D:\SoundingArchive\Sonde2021\Ball09\PTU\20210929\Esrange_20210929_071127_EDT_PTULevels.tsv

Started at       29 September 2021  7:11 UTC

Station  :       Esrange
Location :       67.89 N 21.08 E       335 m/MSL

RS type       :  RS41-SGP
RS-number     :  R5020121
Sounding processor serial number: 0


Ground check  :     Ref     RS   Corr

  Pressure    :   989.8  988.0    1.8
  Temperature :   /////  /////  /////
  Humidity    :   /////  /////  /////

Clouds    : /////
Special 1 : /////
Special 2 : /////

Telemetry noise level  :  100 %

                 P      T      U
Accepted (%) : /////  /////  /////
Replaced (%) : /////  /////  /////
Rejected (%) : /////  /////  /////

GPS data quality
    Valid raw wind ratio        :  ///// %
    Valid raw wind on 5 ratio   :  ///// %
    Invalid raw wind on 4 ratio :  ///// %
    Poor PDOP ratio             :  ///// %
    Unidentified signals ratio  :  ///// %
    Mean satellite track count  :  /////
    Mean track count valid      :  /////
    Gaps over 1 min             :  ///// min


Reason for termination : WeakOrFadingSignal

   Time Pressure   Height  Temperature  RH   Dewp   Significance flags

 min  s      hPa      gpm     deg C      %  deg C  Automatic  Operator

   0  0    983.7      299       5.7     87    3.7 TU          TU            
   0  8    983.4      301       6.7     81    3.7                           
   0  9    983.1      304       6.7     81    3.7                           
   0 10    982.7      307       6.8     81    3.7                           
   0 11    982.4      309       6.8     82    3.9                           
   0 12    982.0      312       6.8     82    4.0                           
   0 13    981.7      315       6.8     82    4.0                           
   0 14    981.3      318       6.9     82    4.1                           
   0 15    981.0      321       6.9     82    4.1 T           T             
   0 16    980.6      324       6.9     82    4.0                           
   0 17    980.3      327       6.8     82    4.0                           
   0 18    979.9      330       6.8     82    4.0                           
   0 19    979.6      333       6.7     82    3.9                           
   0 20    979.2      336       6.7     82    3.9                           
   0 21    978.8      339       6.7     82    3.9                           
   0 22    978.5      342       6.7     82    3.8                           
   0 23    978.1      346       6.7     82    3.8                           
   0 24    977.7      349       6.7     82    3.8                           
   0 25    977.3      352       6.7     81    3.8                           
   0 26    977.0      355       6.7     81    3.8                           
   0 27    976.6      358       6.7     82    3.8                           
