time,P_in,P_out,T_in,T_out,Hum_in,Hum_out,CO2_V1,CO2_V2,O3_WE,O3_AE,Altitude,flags,Flowrate,CO2_C,O3_C,center of mass,SB_Temp
0.00,0.00,963.209931,5,2.040243,,,,,,,382,1,flowrate(time),,,,Pump_Temp
1.00,181.27,962.286545,5,2.000652,,,,,,,383,1,flowrate(time),,,1,In_Temp
2.00,329.68,962.32348,5,1.798742,,,,,,,385,1,flowrate(time),,,,Out_Temp
3.00,451.19,961.10461,5,1.76311,,,,,,,386,1,flowrate(time),,,,In_Press
4.00,550.67,961.584771,5,1.592872,,,,,,,389,1,flowrate(time),,,,Out_Press
5.00,632.12,961.10461,5,1.406797,,,,,,,391,1,,,,,In_Hum
6.00,698.81,960.993804,4,1.624544,,,5,5,10,10,394,1,,"f(CO2_V1,CO2_V2)",f(O3_V),,Out_Hum
7.00,753.40,960.772191,4,1.513691,,,,,,,397,1,flowrate(time),,,,Gps_X
8.00,798.10,960.29203,4,1.485978,,,,,,,401,1,flowrate(time),,,,Gps_Y
9.00,834.70,959.959611,4,1.450346,,,,,,,401,1,flowrate(time),,,1,Gps_altitude
10.00,864.66,958.925419,4,1.454305,,,,,,,405,1,flowrate(time),,,,O3_1
11.00,889.20,958.556064,4,1.383043,,,,,,,409,1,flowrate(time),,,,O3_2
12.00,909.28,958.297516,3,1.383043,,,,,,,413,1,flowrate(time),,,,CO2_1
13.00,925.73,957.928161,3,1.335534,,,,,,,417,1,,,,,CO2_2
14.00,939.19,956.376872,3,1.331575,,,6,6,12,12,421,1,,"f(CO2_V1,CO2_V2)",f(O3_V),,
15.00,950.21,956.96784,3,1.185091,,,,,,,425,1,flowrate(time),,,,status['valve1']
16.00,959.24,956.118324,33,1.129664,,,,,,,429,1,flowrate(time),,,,status['valve2']
17.00,966.63,955.859776,3,1.101951,,,,,,,434,1,flowrate(time),,,,status['heater1']
18.00,972.68,955.675099,3,1.006934,,,,,,,438,1,flowrate(time),,,,status['heater2']
19.00,977.63,954.93639,3,0.979221,,,,,,,442,1,flowrate(time),,,,status['pump']
20.00,981.68,954.086874,0,0.94359,,,,,,,442,1,flowrate(time),,,,stages['stage1']
21.00,985.00,954.493164,,0.947549,,,,,,,446,1,,,,,stages['stage2']
22.00,987.72,953.71752,,0.864409,,,,,,,450,1,,,,,stages['stage3']
23.00,953.50,953.495907,,0.801064,,,,,,,454,0,,,,,
24.00,952.54,952.535585,,0.77731,,,,,,,459,0,,,,,
25.00,952.17,952.166231,,0.717925,,,,,,,463,0,,,,,
26.00,952.20,952.203166,,0.73772,,,,,,,467,0,,,,,
27.00,951.21,951.205909,,0.729802,,,,,,,471,0,,,,,
28.00,950.69,950.688813,,0.717925,,,,,,,476,0,,,,,
29.00,950.95,950.947361,,0.674375,,,,,,,480,0,,,,,
30.00,950.36,950.356394,,0.611031,,,,,,,484,0,,,,,
31.00,949.65,949.65462,,0.508096,,,,,,,489,0,,,,,
32.00,948.58,948.583492,,0.547686,,,,,,,489,0,,,,,
33.00,948.10,948.103331,,0.563522,,,,,,,493,0,,,,,
34.00,948.29,948.288008,,0.508096,,,,,,,498,0,,,,,
35.00,947.59,947.586235,,0.480382,,,,,,,502,0,,,,,
36.00,947.33,947.327687,,0.436833,,,,,,,506,0,,,,,
37.00,946.00,945.99801,,0.405161,,,,,,,511,0,,,,,
38.00,946.26,946.256559,,0.373488,,,,,,,515,0,,,,,
39.00,946.11,946.108817,,0.298267,,,,,,,519,0,,,,,
40.00,945.44,945.443979,,0.270554,,,,,,,523,0,,,,,
41.00,944.52,944.520592,,0.278472,,,,,,,527,0,,,,,
42.00,944.82,944.816076,,0.227004,,,,,,,531,0,,,,,
43.00,943.71,943.708012,,0.266594,,,,,,,531,0,,,,,
44.00,943.41,943.412529,,0.207209,,,,,,,536,0,,,,,
45.00,942.75,942.747691,,0.179496,,,,,,,540,0,,,,,
46.00,943.01,943.006239,,0.230963,,,,,,,544,0,,,,,
47.00,942.67,942.67382,,0.234922,,,,,,,548,0,,,,,
48.00,941.64,941.639627,,0.175537,,,,,,,552,0,,,,,
49.00,0.00,941.418014,,0.151782,,,,,,,557,1,,,,,
50.00,181.27,940.309951,,0.143864,,,,,,,561,1,,,,,
